date,serial_number,model,failure,smart_5_raw,smart_187_raw,smart_188_raw,smart_197_raw,smart_198_raw,smart_199_raw
2016-01-01,S3003W81,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-02,S3003W81,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-03,S3003W81,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-04,S3003W81,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-05,S3003W81,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-06,S3003W81,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-07,S3003W81,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-08,S3003W81,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-09,S3003W81,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-10,S3003W81,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-11,S3003W81,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-12,S3003W81,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-13,S3003W81,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-14,S3003W81,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-15,S3003W81,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-16,S3003W81,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-17,S3003W81,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-18,S3003W81,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-19,S3003W81,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-20,S3003W81,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-21,S3003W81,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-04-01,S3003W81,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-04-02,S3003W81,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-04-03,S3003W81,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-04-04,S3003W81,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-04-05,S3003W81,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-04-06,S3003W81,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-04-07,S3003W81,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-04-08,S3003W81,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-04-09,S3003W81,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-04-10,S3003W81,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-01,S3006Y8L,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-02,S3006Y8L,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-03,S3006Y8L,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-04,S3006Y8L,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-05,S3006Y8L,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-06,S3006Y8L,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-07,S3006Y8L,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-08,S3006Y8L,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-09,S3006Y8L,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-10,S3006Y8L,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-11,S3006Y8L,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-12,S3006Y8L,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-13,S3006Y8L,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-14,S3006Y8L,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-15,S3006Y8L,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-16,S3006Y8L,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-17,S3006Y8L,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-18,S3006Y8L,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-19,S3006Y8L,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-20,S3006Y8L,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-21,S3006Y8L,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-04-01,S3006Y8L,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-04-02,S3006Y8L,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-04-03,S3006Y8L,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-04-04,S3006Y8L,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-04-05,S3006Y8L,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-04-06,S3006Y8L,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-04-07,S3006Y8L,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-04-08,S3006Y8L,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-04-09,S3006Y8L,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-04-10,S3006Y8L,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-01,S300739N,ST4000DM000,0,0,0.0,2.1220281705e-314,0,0,0
2016-01-02,S300739N,ST4000DM000,0,0,0.0,2.1220281705e-314,0,0,0
2016-01-03,S300739N,ST4000DM000,0,0,0.0,2.1220281705e-314,0,0,0
2016-01-04,S300739N,ST4000DM000,0,0,0.0,2.1220281705e-314,0,0,0
2016-01-05,S300739N,ST4000DM000,0,0,0.0,2.1220281705e-314,0,0,0
2016-01-06,S300739N,ST4000DM000,0,0,0.0,2.1220281705e-314,0,0,0
2016-01-07,S300739N,ST4000DM000,0,0,0.0,2.1220281705e-314,0,0,0
2016-01-08,S300739N,ST4000DM000,0,0,0.0,2.1220281705e-314,0,0,0
2016-01-09,S300739N,ST4000DM000,0,0,0.0,2.1220281705e-314,0,0,0
2016-01-10,S300739N,ST4000DM000,0,0,0.0,2.1220281705e-314,0,0,0
2016-01-11,S300739N,ST4000DM000,0,0,0.0,2.1220281705e-314,0,0,0
2016-01-12,S300739N,ST4000DM000,0,0,0.0,2.1220281705e-314,0,0,0
2016-01-13,S300739N,ST4000DM000,0,0,0.0,2.1220281705e-314,0,0,0
2016-01-14,S300739N,ST4000DM000,0,0,0.0,2.1220281705e-314,0,0,0
2016-01-15,S300739N,ST4000DM000,0,0,0.0,2.1220281705e-314,0,0,0
2016-01-16,S300739N,ST4000DM000,0,0,0.0,2.1220281705e-314,0,0,0
2016-01-17,S300739N,ST4000DM000,0,0,0.0,2.1220281705e-314,0,0,0
2016-01-18,S300739N,ST4000DM000,0,0,0.0,2.1220281705e-314,0,0,0
2016-01-19,S300739N,ST4000DM000,0,0,0.0,2.1220281705e-314,0,0,0
2016-01-20,S300739N,ST4000DM000,0,0,0.0,2.1220281705e-314,0,0,0
2016-01-21,S300739N,ST4000DM000,0,0,0.0,2.1220281705e-314,0,0,0
2016-04-01,S300739N,ST4000DM000,0,0,0.0,2.1220281705e-314,0,0,0
2016-04-02,S300739N,ST4000DM000,0,0,0.0,2.1220281705e-314,0,0,0
2016-04-03,S300739N,ST4000DM000,0,0,0.0,2.1220281705e-314,0,0,0
2016-04-04,S300739N,ST4000DM000,0,0,0.0,2.1220281705e-314,0,0,0
2016-04-05,S300739N,ST4000DM000,0,0,0.0,2.1220281705e-314,0,0,0
2016-04-06,S300739N,ST4000DM000,0,0,0.0,2.1220281705e-314,0,0,0
2016-04-07,S300739N,ST4000DM000,0,0,0.0,2.1220281705e-314,0,0,0
2016-04-08,S300739N,ST4000DM000,0,0,0.0,2.1220281705e-314,0,0,0
2016-04-09,S300739N,ST4000DM000,0,0,0.0,2.1220281705e-314,0,0,0
2016-04-10,S300739N,ST4000DM000,0,0,0.0,2.1220281705e-314,0,0,0
2016-01-01,S30073JN,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-02,S30073JN,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-03,S30073JN,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-04,S30073JN,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-05,S30073JN,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-06,S30073JN,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-07,S30073JN,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-08,S30073JN,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-09,S30073JN,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-10,S30073JN,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-11,S30073JN,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-12,S30073JN,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-13,S30073JN,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-14,S30073JN,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-15,S30073JN,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-16,S30073JN,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-17,S30073JN,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-18,S30073JN,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-19,S30073JN,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-20,S30073JN,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-01-21,S30073JN,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-04-01,S30073JN,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-04-02,S30073JN,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-04-03,S30073JN,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-04-04,S30073JN,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-04-05,S30073JN,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-04-06,S30073JN,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-04-07,S30073JN,ST4000DM000,0,0,0.0,0.0,0,0,0
2016-04-08,S30073JN,ST4000DM000,0,0,0.0,0.0,0,0,0
